pokedex_number,name,generation,is_sub_legendary,is_legendary,is_mythical,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_experience,growth_rate,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy
9,Mega Blastoise,1,0,0,0,Shellfish Pokémon,1,Water,,1.6,101.1,1,Mega Launcher,,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,45.0,284.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,Caterpie,1,0,0,0,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,39.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
11,Metapod,1,0,0,0,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
12,Butterfree,1,0,0,0,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,178.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
13,Weedle,1,0,0,0,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,39.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
14,Kakuna,1,0,0,0,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Beedrill,1,0,0,0,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,178.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Mega Beedrill,1,0,0,0,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495.0,65.0,150.0,40.0,15.0,80.0,145.0,45.0,223.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
16,Pidgey,1,0,0,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,50.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
17,Pidgeotto,1,0,0,0,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,122.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Pidgeot,1,0,0,0,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,216.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Mega Pidgeot,1,0,0,0,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,,,579.0,83.0,80.0,80.0,135.0,80.0,121.0,45.0,261.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
19,Rattata,1,0,0,0,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,51.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
19,Alolan Rattata,1,0,0,0,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,51.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
20,Raticate,1,0,0,0,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20,Alolan Raticate,1,0,0,0,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
21,Spearow,1,0,0,0,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,52.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,Fearow,1,0,0,0,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,155.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,Ekans,1,0,0,0,Snake Pokémon,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
24,Arbok,1,0,0,0,Cobra Pokémon,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,157.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
25,Pikachu,1,0,0,0,Mouse Pokémon,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,112.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Partner Pikachu,1,0,0,0,Mouse Pokémon,1,Electric,,0.4,6.0,1,,,Lightning Rod,430.0,45.0,80.0,50.0,75.0,60.0,120.0,190.0,112.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Raichu,1,0,0,0,Mouse Pokémon,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,218.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Alolan Raichu,1,0,0,0,Mouse Pokémon,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,,,485.0,60.0,85.0,50.0,95.0,85.0,110.0,75.0,218.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Sandshrew,1,0,0,0,Mouse Pokémon,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,60.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
27,Alolan Sandshrew,1,0,0,0,Mouse Pokémon,2,Ice,Steel,0.7,40.0,2,Snow Cloak,,Slush Rush,300.0,50.0,75.0,90.0,10.0,35.0,40.0,255.0,60.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
28,Sandslash,1,0,0,0,Mouse Pokémon,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,158.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
28,Alolan Sandslash,1,0,0,0,Mouse Pokémon,2,Ice,Steel,1.2,55.0,2,Snow Cloak,,Slush Rush,450.0,75.0,100.0,120.0,25.0,65.0,65.0,90.0,158.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
29,Nidoran♀,1,0,0,0,Poison Pin Pokémon,1,Poison,,0.4,7.0,3,Poison Point,Rivalry,Hustle,275.0,55.0,47.0,52.0,40.0,40.0,41.0,235.0,55.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
30,Nidorina,1,0,0,0,Poison Pin Pokémon,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,128.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,Nidoqueen,1,0,0,0,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,227.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
32,Nidoran♂,1,0,0,0,Poison Pin Pokémon,1,Poison,,0.5,9.0,3,Poison Point,Rivalry,Hustle,273.0,46.0,57.0,40.0,40.0,40.0,50.0,235.0,55.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
33,Nidorino,1,0,0,0,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,128.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
34,Nidoking,1,0,0,0,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,227.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
35,Clefairy,1,0,0,0,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,113.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
36,Clefable,1,0,0,0,Fairy Pokémon,1,Fairy,,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,217.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
37,Vulpix,1,0,0,0,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,60.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
37,Alolan Vulpix,1,0,0,0,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,60.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Ninetales,1,0,0,0,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,177.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Alolan Ninetales,1,0,0,0,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,177.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
39,Jigglypuff,1,0,0,0,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,95.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
40,Wigglytuff,1,0,0,0,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,196.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
41,Zubat,1,0,0,0,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,49.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
42,Golbat,1,0,0,0,Bat Pokémon,2,Poison,Flying,1.6,55.0,2,Inner Focus,,Infiltrator,455.0,75.0,80.0,70.0,65.0,75.0,90.0,90.0,159.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
43,Oddish,1,0,0,0,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320.0,45.0,50.0,55.0,75.0,65.0,30.0,255.0,64.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
44,Gloom,1,0,0,0,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395.0,60.0,65.0,70.0,85.0,75.0,40.0,120.0,138.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
45,Vileplume,1,0,0,0,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490.0,75.0,80.0,85.0,110.0,90.0,50.0,45.0,221.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
46,Paras,1,0,0,0,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285.0,35.0,70.0,55.0,45.0,55.0,25.0,190.0,57.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
47,Parasect,1,0,0,0,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,142.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
48,Venonat,1,0,0,0,Insect Pokémon,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,61.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
49,Venomoth,1,0,0,0,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450.0,70.0,65.0,60.0,90.0,75.0,90.0,75.0,158.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
50,Diglett,1,0,0,0,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265.0,10.0,55.0,25.0,35.0,45.0,95.0,255.0,53.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
50,Alolan Diglett,1,0,0,0,Mole Pokémon,2,Ground,Steel,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,265.0,10.0,55.0,30.0,35.0,45.0,90.0,255.0,53.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
51,Dugtrio,1,0,0,0,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425.0,35.0,100.0,50.0,50.0,70.0,120.0,50.0,149.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
51,Alolan Dugtrio,1,0,0,0,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425.0,35.0,100.0,60.0,50.0,70.0,110.0,50.0,149.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
52,Meowth,1,0,0,0,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290.0,40.0,45.0,35.0,40.0,40.0,90.0,255.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
52,Alolan Meowth,1,0,0,0,Scratch Cat Pokémon,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290.0,40.0,35.0,35.0,50.0,40.0,90.0,255.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
52,Galarian Meowth,1,0,0,0,Scratch Cat Pokémon,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290.0,50.0,65.0,55.0,40.0,40.0,40.0,,,Medium Fast,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
53,Persian,1,0,0,0,Classy Cat Pokémon,1,Normal,,1.0,32.0,3,Limber,Technician,Unnerve,440.0,65.0,70.0,60.0,65.0,65.0,115.0,90.0,154.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
53,Alolan Persian,1,0,0,0,Classy Cat Pokémon,1,Dark,,1.1,33.0,3,Fur Coat,Technician,Rattled,440.0,65.0,60.0,60.0,75.0,65.0,115.0,90.0,154.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
54,Psyduck,1,0,0,0,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320.0,50.0,52.0,48.0,65.0,50.0,55.0,190.0,64.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
55,Golduck,1,0,0,0,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500.0,80.0,82.0,78.0,95.0,80.0,85.0,75.0,175.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
56,Mankey,1,0,0,0,Pig Monkey Pokémon,1,Fighting,,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,305.0,40.0,80.0,35.0,35.0,45.0,70.0,190.0,61.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
57,Primeape,1,0,0,0,Pig Monkey Pokémon,1,Fighting,,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,455.0,65.0,105.0,60.0,60.0,70.0,95.0,75.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
58,Growlithe,1,0,0,0,Puppy Pokémon,1,Fire,,0.7,19.0,3,Intimidate,Flash Fire,Justified,350.0,55.0,70.0,45.0,70.0,50.0,60.0,190.0,70.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
